District,Elderly_share,Mean_nearest_station_distance,Pop_density,Elderly_share_norm,Mean_nearest_station_distance_norm,Pop_density_norm,Recycle_amount_per_capita,Baseline_RFI
Islands,0.14732138,6200.327821,1021,0.0,0.665410042,0.0,2.469932319,80.17265661808094
Kwai Tsing,0.220787498,2710.237216,21246,0.851652498,0.197302611,0.344648365,1.726898858,71.90850297836218
Sai Kung,0.158010539,7521.02405,3771,0.123913567,0.842548055,0.046861953,1.658774285,86.24371327229028
Sha Tin,0.199890012,2924.808524,10082,0.609399383,0.226081928,0.154405876,1.610893959,76.87187055576457
Tai Po,0.184857964,7270.044372,2325,0.435141076,0.808885476,0.022221086,2.0265428,96.36965213693904
Tsuen Wan,0.181340481,4684.072614,5168,0.394364819,0.462042734,0.070667825,0.79865602,82.15490075571311
Tuen Mun,0.193251249,4112.612494,5908,0.532439835,0.385395805,0.083277951,1.000905542,83.43174466403428
Yuen Long,0.150230511,5300.291919,4825,0.033723963,0.544692977,0.064822862,1.301207939,73.7776374475548
Kowloon City,0.200806558,2056.94807,40994,0.62002439,0.109680386,0.681168311,2.467964172,41.71954344792975
Kwun Tong,0.219471869,1852.20533,59704,0.836401126,0.082219323,1.0,1.325444244,28.154963092212537
Sham Shui Po,0.203982927,1322.984686,46067,0.656846301,0.011237752,0.767615834,1.82290009,34.743746817838925
Wong Tai Sin,0.229622765,1239.198851,43730,0.95407491,0.0,0.727791694,1.088362397,46.01080102131617
Yau Tsim Mong,0.178878277,1990.241282,44458,0.365821828,0.100733357,0.740197331,1.203662034,30.02555352539167
Central and Western,0.192796871,3739.181053,18808,0.527172471,0.335309417,0.303103113,2.182226969,68.41957361540398
Southern,0.215771922,5315.623941,6779,0.793509665,0.54674938,0.09812041,0.847826252,95.22825167954501
Wan Chai,0.21223792,1749.348107,15791,0.752541912,0.068423627,0.25169129,2.001097813,70.80484198844769
Eastern,0.233584402,1966.917509,29440,1.0,0.097605062,0.484279945,2.012084524,65.09126452522544
North,0.179429708,8694.945925,2269,0.372214273,1.0,0.021266806,2.132719269,100.0
